"id","mz_ratio","intensity"
100,217.74823,167912
100,362.789001,59880
100,365.723022,60870
100,369.804291,307897
100,405.815887,1482111
100,423.638977,161669
100,465.704803,178719
100,506.802399,140763
100,524.94574,69619
100,542.833557,102843
100,546.739807,97258
100,560.869568,433371
100,568.85199,480612
100,586.748169,133034
100,604.804443,5549140
100,606.690308,83891
100,622.757446,414661
100,628.79187,336850
212,175.014008,1684
212,192.072906,1692
212,209.779663,2270
212,224.335022,1047
212,236.332825,1713
212,272.723511,303
212,274.761963,478
212,382.200684,1106
212,392.527954,1676
212,397.75354,348
212,398.327942,1630
212,415.924774,7570
212,418.00708,419
212,430.006531,1100
212,439.535095,611
212,447.965729,10124
212,451.09259,505
212,454.353271,3113
212,464.952209,486
212,492.733154,805
212,503.803162,481
212,526.112183,1094
212,527.667236,309
212,539.587402,2204
212,544.141602,1693
212,558.240234,2871
212,576.024414,1593
212,577.979248,2824
212,579.066772,362
212,583.858398,486
212,589.837646,426
212,596.244141,462
212,607.336426,1215
212,615.210144,2615
212,616.463623,947
180,145.930786,48028792
180,146.593414,924155
180,163.950317,8807874
